model,auc_roc,f1_default_0.5,f1_optimal,optimal_threshold,avg_precision
MLP,0.9436034804801184,0.7230854605993341,0.7408153718330448,0.3303484935239066,0.8071194646506722
Random Forest,0.9405555844579911,0.7143038054834421,0.722116301189297,0.6295632241637247,0.7810789575705409
Decision Tree,0.9360689339024164,0.6726861040449501,0.7340413962599468,0.8239755101836113,0.781110409382336
